Year,source,energy_type,total_btu,full_source,highlight_col,name_lab
1959,Industrial,Solar,18581.579999999998,"Solar, Industrial","Solar, Industrial","Solar, Industrial"
1959,Industrial,Wind,24775.44,"Wind, Industrial",other,NA
1959,Residential,Geothermal,18581.579999999998,"Geothermal, Residential",other,NA
1959,Residential,Solar,18581.579999999998,"Solar, Residential","Solar, Residential","Solar, Residential"
1959,Transportation,Geothermal,18581.579999999998,"Geothermal, Transportation",other,NA
1959,Transportation,Hydroelectric,72550.176,"Hydroelectric, Transportation",other,NA
1959,Transportation,Solar,18581.579999999998,"Solar, Transportation",other,NA
1959,Transportation,Wind,24775.44,"Wind, Transportation",other,NA
1960,Commercial,Geothermal,19295.7,"Geothermal, Commercial",other,NA
1960,Commercial,Hydroelectric,4.308,"Hydroelectric, Commercial",other,NA
1960,Commercial,Solar,19298.931,"Solar, Commercial","Solar, Commercial","Solar, Commercial"
1960,Commercial,Wind,25731.908,"Wind, Commercial",other,NA
1960,Industrial,Geothermal,19295.7,"Geothermal, Industrial",other,NA
1960,Industrial,Hydroelectric,1867.092,"Hydroelectric, Industrial",other,NA
1960,Industrial,Solar,19298.931,"Solar, Industrial","Solar, Industrial","Solar, Industrial"
1960,Industrial,Wind,25731.908,"Wind, Industrial",other,NA
1960,Residential,Geothermal,19295.7,"Geothermal, Residential",other,NA
1960,Residential,Solar,19298.931,"Solar, Residential","Solar, Residential","Solar, Residential"
1960,Transportation,Geothermal,19308.624,"Geothermal, Transportation",other,NA
1960,Transportation,Hydroelectric,75324.324,"Hydroelectric, Transportation",other,NA
1960,Transportation,Solar,19298.931,"Solar, Transportation",other,NA
1960,Transportation,Wind,25731.908,"Wind, Transportation",other,NA
1961,Commercial,Geothermal,19877.556,"Geothermal, Commercial",other,NA
1961,Commercial,Hydroelectric,12.011999999999999,"Hydroelectric, Commercial",other,NA
1961,Commercial,Solar,19886.565,"Solar, Commercial","Solar, Commercial","Solar, Commercial"
1961,Commercial,Wind,26515.42,"Wind, Commercial",other,NA
1961,Industrial,Geothermal,19877.556,"Geothermal, Industrial",other,NA
1961,Industrial,Hydroelectric,1732.1399999999999,"Hydroelectric, Industrial",other,NA
1961,Industrial,Solar,19886.565,"Solar, Industrial","Solar, Industrial","Solar, Industrial"
1961,Industrial,Wind,26515.42,"Wind, Industrial",other,NA
1961,Residential,Geothermal,19877.556,"Geothermal, Residential",other,NA
1961,Residential,Solar,19886.565,"Solar, Residential","Solar, Residential","Solar, Residential"
1961,Transportation,Geothermal,19913.592,"Geothermal, Transportation",other,NA
1961,Transportation,Hydroelectric,77802.108,"Hydroelectric, Transportation",other,NA
1961,Transportation,Solar,19886.565,"Solar, Transportation",other,NA
1961,Transportation,Wind,26515.42,"Wind, Transportation",other,NA
1962,Commercial,Geothermal,21793.692,"Geothermal, Commercial",other,NA
1962,Commercial,Hydroelectric,12.732,"Hydroelectric, Commercial",other,NA
1962,Commercial,Solar,21803.241,"Solar, Commercial","Solar, Commercial","Solar, Commercial"
1962,Commercial,Wind,29070.988,"Wind, Commercial",other,NA
1962,Industrial,Geothermal,21793.692,"Geothermal, Industrial",other,NA
1962,Industrial,Hydroelectric,1740.2520000000002,"Hydroelectric, Industrial",other,NA
1962,Industrial,Solar,21803.241,"Solar, Industrial","Solar, Industrial","Solar, Industrial"
1962,Industrial,Wind,29070.988,"Wind, Industrial",other,NA
1962,Residential,Geothermal,21793.692,"Geothermal, Residential",other,NA
1962,Residential,Solar,21803.241,"Solar, Residential","Solar, Residential","Solar, Residential"
1962,Transportation,Geothermal,21831.888,"Geothermal, Transportation",other,NA
1962,Transportation,Hydroelectric,85459.98000000001,"Hydroelectric, Transportation",other,NA
1962,Transportation,Solar,21803.241,"Solar, Transportation",other,NA
1962,Transportation,Wind,29070.988,"Wind, Transportation",other,NA
1963,Commercial,Geothermal,21256.260000000002,"Geothermal, Commercial",other,NA
1963,Commercial,Hydroelectric,21.12,"Hydroelectric, Commercial",other,NA
1963,Commercial,Solar,21272.100000000002,"Solar, Commercial","Solar, Commercial","Solar, Commercial"
1963,Commercial,Wind,28362.8,"Wind, Commercial",other,NA
1963,Industrial,Geothermal,21256.260000000002,"Geothermal, Industrial",other,NA
1963,Industrial,Hydroelectric,1648.992,"Hydroelectric, Industrial",other,NA
1963,Industrial,Solar,21272.100000000002,"Solar, Industrial","Solar, Industrial","Solar, Industrial"
1963,Industrial,Wind,28362.8,"Wind, Industrial",other,NA
1963,Residential,Geothermal,21256.260000000002,"Geothermal, Residential",other,NA
1963,Residential,Solar,21272.100000000002,"Solar, Residential","Solar, Residential","Solar, Residential"
1963,Transportation,Geothermal,21319.62,"Geothermal, Transportation",other,NA
1963,Transportation,Hydroelectric,83418.288,"Hydroelectric, Transportation",other,NA
1963,Transportation,Solar,21272.100000000002,"Solar, Transportation",other,NA
1963,Transportation,Wind,28362.8,"Wind, Transportation",other,NA
1964,Commercial,Geothermal,22635.768,"Geothermal, Commercial",other,NA
